0,2024-01-18 21:44:29
1,362.38
2,+3.09
3,(+0.86%)
4,"2,934,641"
5,Bearish
6,410.00
7,162.67
8,+2.50
9,(+1.56%)
10,"130,921,708"
11,Bearish
12,144.08
13,211.88
14,-3.67
15,(-1.70%)
16,"107,981,065"
17,Bullish
18,228.65
19,16.07
20,-1.19
21,(-6.89%)
22,"91,425,926"
23,Bearish
24,16.82
25,6.28
26,-0.02
27,(-0.32%)
28,"70,901,868"
29,Bearish
30,N/A
31,188.63
32,+5.95
33,(+3.26%)
34,"77,082,288"
35,Bearish
36,199.57
0,2024-01-18 21:44:33
1,362.38
2,+3.09
3,(+0.86%)
4,"2,934,641"
5,Bearish
6,410.00
7,162.67
8,+2.50
9,(+1.56%)
10,"130,921,708"
11,Bearish
12,144.08
13,211.88
14,-3.67
15,(-1.70%)
16,"107,981,065"
17,Bullish
18,228.65
19,16.07
20,-1.19
21,(-6.89%)
22,"91,425,926"
23,Bearish
24,16.82
25,6.28
26,-0.02
27,(-0.32%)
28,"70,901,868"
29,Bearish
30,N/A
31,188.63
32,+5.95
33,(+3.26%)
34,"77,082,288"
35,Bearish
36,199.57
0,2024-01-18 21:45:40
1,362.38
2,+3.09
3,(+0.86%)
4,"2,934,641"
5,Bearish
6,410.00
7,162.67
8,+2.50
9,(+1.56%)
10,"130,921,708"
11,Bearish
12,144.08
13,211.88
14,-3.67
15,(-1.70%)
16,"107,981,065"
17,Bullish
18,228.65
19,16.07
20,-1.19
21,(-6.89%)
22,"91,425,926"
23,Bearish
24,16.82
25,6.28
26,-0.02
27,(-0.32%)
28,"70,901,868"
29,Bearish
30,N/A
31,188.63
32,+5.95
33,(+3.26%)
34,"77,082,288"
35,Bearish
36,199.57
0,2024-01-18 21:45:45
1,362.38
2,+3.09
3,(+0.86%)
4,"2,934,641"
5,Bearish
6,410.00
7,162.67
8,+2.50
9,(+1.56%)
10,"130,921,708"
11,Bearish
12,144.08
13,211.88
14,-3.67
15,(-1.70%)
16,"107,981,065"
17,Bullish
18,228.65
19,16.07
20,-1.19
21,(-6.89%)
22,"91,425,926"
23,Bearish
24,16.82
25,6.28
26,-0.02
27,(-0.32%)
28,"70,901,868"
29,Bearish
30,N/A
31,188.63
32,+5.95
33,(+3.26%)
34,"77,082,288"
35,Bearish
36,199.57
0,2024-01-18 21:45:49
1,362.38
2,+3.09
3,(+0.86%)
4,"2,934,641"
5,Bearish
6,410.00
7,162.67
8,+2.50
9,(+1.56%)
10,"130,921,708"
11,Bearish
12,144.08
13,211.88
14,-3.67
15,(-1.70%)
16,"107,981,065"
17,Bullish
18,228.65
19,16.07
20,-1.19
21,(-6.89%)
22,"91,425,926"
23,Bearish
24,16.82
25,6.28
26,-0.02
27,(-0.32%)
28,"70,901,868"
29,Bearish
30,N/A
31,188.63
32,+5.95
33,(+3.26%)
34,"77,082,288"
35,Bearish
36,199.57
0,2024-01-18 21:45:53
1,362.38
2,+3.09
3,(+0.86%)
4,"2,934,641"
5,Bearish
6,410.00
7,162.67
8,+2.50
9,(+1.56%)
10,"130,921,708"
11,Bearish
12,144.08
13,211.88
14,-3.67
15,(-1.70%)
16,"107,981,065"
17,Bullish
18,228.65
19,16.07
20,-1.19
21,(-6.89%)
22,"91,425,926"
23,Bearish
24,16.82
25,6.28
26,-0.02
27,(-0.32%)
28,"70,901,868"
29,Bearish
30,N/A
31,188.63
32,+5.95
33,(+3.26%)
34,"77,082,288"
35,Bearish
36,199.57
0,2024-01-18 21:48:23
1,362.38
2,['+3.09']
3,['(+0.86%)']
4,"['2,934,641']"
5,['Bearish']
6,['410.00']
7,162.67
8,['+2.50']
9,['(+1.56%)']
10,"['130,921,708']"
11,['Bearish']
12,['144.08']
13,211.88
14,['-3.67']
15,['(-1.70%)']
16,"['107,981,065']"
17,['Bullish']
18,['228.65']
19,16.07
20,['-1.19']
21,['(-6.89%)']
22,"['91,425,926']"
23,['Bearish']
24,['16.82']
25,6.28
26,['-0.02']
27,['(-0.32%)']
28,"['70,901,868']"
29,['Bearish']
30,['N/A']
31,188.63
32,['+5.95']
33,['(+3.26%)']
34,"['77,082,288']"
35,['Bearish']
36,['199.57']
0,2024-01-18 21:48:29
1,362.38
2,['+3.09']
3,['(+0.86%)']
4,"['2,934,641']"
5,['Bearish']
6,['410.00']
7,162.67
8,['+2.50']
9,['(+1.56%)']
10,"['130,921,708']"
